11/1/1,11
11/1*1,11
11/1*2,22
11/1*3,33
11/1*4,44
11/1*5,55
11/1*6,66
11/1*7,77
11/1*8,88
11/1*9,99
11/1+1,12
11/1+2,13
11/1+3,14
11/1+4,15
11/1+5,16
11/1+6,17
11/1+7,18
11/1+8,19
11/1+9,20
11/1+0,11
11/1-1,10
11/1-2,9
11/1-3,8
11/1-4,7
11/1-5,6
11/1-6,5
11/1-7,4
11/1-8,3
11/1-9,2
11/1-0,11
11*1/1,11
11*1*1,11
11*1*2,22
11*1*3,33
11*1*4,44
11*1*5,55
11*1*6,66
11*1*7,77
11*1*8,88
11*1*9,99
11*1+1,12
11*1+2,13
11*1+3,14
11*1+4,15
11*1+5,16
11*1+6,17
11*1+7,18
11*1+8,19
11*1+9,20
11*1+0,11
11*1-1,10
11*1-2,9
11*1-3,8
11*1-4,7
11*1-5,6
11*1-6,5
11*1-7,4
11*1-8,3
11*1-9,2
11*1-0,11
11*2/1,22
11*2/2,11
11*2*1,22
11*2*2,44
11*2*3,66
11*2*4,88
11*2*5,110
11*2*6,132
11*2*7,154
11*2*8,176
11*2*9,198
11*2+1,23
11*2+2,24
11*2+3,25
11*2+4,26
11*2+5,27
11*2+6,28
11*2+7,29
11*2+8,30
11*2+9,31
11*2+0,22
11*2-1,21
11*2-2,20
11*2-3,19
11*2-4,18
11*2-5,17
11*2-6,16
11*2-7,15
11*2-8,14
11*2-9,13
11*2-0,22
11*3/1,33
11*3/3,11
11*3*1,33
11*3*2,66
11*3*3,99
11*3*4,132
11*3*5,165
11*3*6,198
11*3*7,231
11*3*8,264
11*3*9,297
11*3+1,34
11*3+2,35
11*3+3,36
11*3+4,37
11*3+5,38
11*3+6,39
11*3+7,40
11*3+8,41
11*3+9,42
11*3+0,33
11*3-1,32
11*3-2,31
11*3-3,30
11*3-4,29
11*3-5,28
11*3-6,27
11*3-7,26
11*3-8,25
11*3-9,24
11*3-0,33
11*4/1,44
11*4/2,22
11*4/4,11
11*4*1,44
11*4*2,88
11*4*3,132
11*4*4,176
11*4*5,220
11*4*6,264
11*4*7,308
11*4*8,352
11*4*9,396
11*4+1,45
11*4+2,46
11*4+3,47
11*4+4,48
11*4+5,49
11*4+6,50
11*4+7,51
11*4+8,52
11*4+9,53
11*4+0,44
11*4-1,43
11*4-2,42
11*4-3,41
11*4-4,40
11*4-5,39
11*4-6,38
11*4-7,37
11*4-8,36
11*4-9,35
11*4-0,44
11*5/1,55
11*5/5,11
11*5*1,55
11*5*2,110
11*5*3,165
11*5*4,220
11*5*5,275
11*5*6,330
11*5*7,385
11*5*8,440
11*5*9,495
11*5+1,56
11*5+2,57
11*5+3,58
11*5+4,59
11*5+5,60
11*5+6,61
11*5+7,62
11*5+8,63
11*5+9,64
11*5+0,55
11*5-1,54
11*5-2,53
11*5-3,52
11*5-4,51
11*5-5,50
11*5-6,49
11*5-7,48
11*5-8,47
11*5-9,46
11*5-0,55
11*6/1,66
11*6/2,33
11*6/3,22
11*6/6,11
11*6*1,66
11*6*2,132
11*6*3,198
11*6*4,264
11*6*5,330
11*6*6,396
11*6*7,462
11*6*8,528
11*6*9,594
11*6+1,67
11*6+2,68
11*6+3,69
11*6+4,70
11*6+5,71
11*6+6,72
11*6+7,73
11*6+8,74
11*6+9,75
11*6+0,66
11*6-1,65
11*6-2,64
11*6-3,63
11*6-4,62
11*6-5,61
11*6-6,60
11*6-7,59
11*6-8,58
11*6-9,57
11*6-0,66
11*7/1,77
11*7/7,11
11*7*1,77
11*7*2,154
11*7*3,231
11*7*4,308
11*7*5,385
11*7*6,462
11*7*7,539
11*7*8,616
11*7*9,693
11*7+1,78
11*7+2,79
11*7+3,80
11*7+4,81
11*7+5,82
11*7+6,83
11*7+7,84
11*7+8,85
11*7+9,86
11*7+0,77
11*7-1,76
11*7-2,75
11*7-3,74
11*7-4,73
11*7-5,72
11*7-6,71
11*7-7,70
11*7-8,69
11*7-9,68
11*7-0,77
11*8/1,88
11*8/2,44
11*8/4,22
11*8/8,11
11*8*1,88
11*8*2,176
11*8*3,264
11*8*4,352
11*8*5,440
11*8*6,528
11*8*7,616
11*8*8,704
11*8*9,792
11*8+1,89
11*8+2,90
11*8+3,91
11*8+4,92
11*8+5,93
11*8+6,94
11*8+7,95
11*8+8,96
11*8+9,97
11*8+0,88
11*8-1,87
11*8-2,86
11*8-3,85
11*8-4,84
11*8-5,83
11*8-6,82
11*8-7,81
11*8-8,80
11*8-9,79
11*8-0,88
11*9/1,99
11*9/3,33
11*9/9,11
11*9*1,99
11*9*2,198
11*9*3,297
11*9*4,396
11*9*5,495
11*9*6,594
11*9*7,693
11*9*8,792
11*9*9,891
11*9+1,100
11*9+2,101
11*9+3,102
11*9+4,103
11*9+5,104
11*9+6,105
11*9+7,106
11*9+8,107
11*9+9,108
11*9+0,99
11*9-1,98
11*9-2,97
11*9-3,96
11*9-4,95
11*9-5,94
11*9-6,93
11*9-7,92
11*9-8,91
11*9-9,90
11*9-0,99
11*0+1,1
11*0+2,2
11*0+3,3
11*0+4,4
11*0+5,5
11*0+6,6
11*0+7,7
11*0+8,8
11*0+9,9
11*0-1,-1
11*0-2,-2
11*0-3,-3
11*0-4,-4
11*0-5,-5
11*0-6,-6
11*0-7,-7
11*0-8,-8
11*0-9,-9
11+1/1,12
11+1*1,12
11+1*2,13
11+1*3,14
11+1*4,15
11+1*5,16
11+1*6,17
11+1*7,18
11+1*8,19
11+1*9,20
11+1*0,11
11+1+1,13
11+1+2,14
11+1+3,15
11+1+4,16
11+1+5,17
11+1+6,18
11+1+7,19
11+1+8,20
11+1+9,21
11+1+0,12
11+1-1,11
11+1-2,10
11+1-3,9
11+1-4,8
11+1-5,7
11+1-6,6
11+1-7,5
11+1-8,4
11+1-9,3
11+1-0,12
11+2/1,13
11+2/2,12
11+2*1,13
11+2*2,15
11+2*3,17
11+2*4,19
11+2*5,21
11+2*6,23
11+2*7,25
11+2*8,27
11+2*9,29
11+2*0,11
11+2+1,14
11+2+2,15
11+2+3,16
11+2+4,17
11+2+5,18
11+2+6,19
11+2+7,20
11+2+8,21
11+2+9,22
11+2+0,13
11+2-1,12
11+2-2,11
11+2-3,10
11+2-4,9
11+2-5,8
11+2-6,7
11+2-7,6
11+2-8,5
11+2-9,4
11+2-0,13
11+3/1,14
11+3/3,12
11+3*1,14
11+3*2,17
11+3*3,20
11+3*4,23
11+3*5,26
11+3*6,29
11+3*7,32
11+3*8,35
11+3*9,38
11+3*0,11
11+3+1,15
11+3+2,16
11+3+3,17
11+3+4,18
11+3+5,19
11+3+6,20
11+3+7,21
11+3+8,22
11+3+9,23
11+3+0,14
11+3-1,13
11+3-2,12
11+3-3,11
11+3-4,10
11+3-5,9
11+3-6,8
11+3-7,7
11+3-8,6
11+3-9,5
11+3-0,14
11+4/1,15
11+4/2,13
11+4/4,12
11+4*1,15
11+4*2,19
11+4*3,23
11+4*4,27
11+4*5,31
11+4*6,35
11+4*7,39
11+4*8,43
11+4*9,47
11+4*0,11
11+4+1,16
11+4+2,17
11+4+3,18
11+4+4,19
11+4+5,20
11+4+6,21
11+4+7,22
11+4+8,23
11+4+9,24
11+4+0,15
11+4-1,14
11+4-2,13
11+4-3,12
11+4-4,11
11+4-5,10
11+4-6,9
11+4-7,8
11+4-8,7
11+4-9,6
11+4-0,15
11+5/1,16
11+5/5,12
11+5*1,16
11+5*2,21
11+5*3,26
11+5*4,31
11+5*5,36
11+5*6,41
11+5*7,46
11+5*8,51
11+5*9,56
11+5*0,11
11+5+1,17
11+5+2,18
11+5+3,19
11+5+4,20
11+5+5,21
11+5+6,22
11+5+7,23
11+5+8,24
11+5+9,25
11+5+0,16
11+5-1,15
11+5-2,14
11+5-3,13
11+5-4,12
11+5-5,11
11+5-6,10
11+5-7,9
11+5-8,8
11+5-9,7
11+5-0,16
11+6/1,17
11+6/2,14
11+6/3,13
11+6/6,12
11+6*1,17
11+6*2,23
11+6*3,29
11+6*4,35
11+6*5,41
11+6*6,47
11+6*7,53
11+6*8,59
11+6*9,65
11+6*0,11
11+6+1,18
11+6+2,19
11+6+3,20
11+6+4,21
11+6+5,22
11+6+6,23
11+6+7,24
11+6+8,25
11+6+9,26
11+6+0,17
11+6-1,16
11+6-2,15
11+6-3,14
11+6-4,13
11+6-5,12
11+6-6,11
11+6-7,10
11+6-8,9
11+6-9,8
11+6-0,17
11+7/1,18
11+7/7,12
11+7*1,18
11+7*2,25
11+7*3,32
11+7*4,39
11+7*5,46
11+7*6,53
11+7*7,60
11+7*8,67
11+7*9,74
11+7*0,11
11+7+1,19
11+7+2,20
11+7+3,21
11+7+4,22
11+7+5,23
11+7+6,24
11+7+7,25
11+7+8,26
11+7+9,27
11+7+0,18
11+7-1,17
11+7-2,16
11+7-3,15
11+7-4,14
11+7-5,13
11+7-6,12
11+7-7,11
11+7-8,10
11+7-9,9
11+7-0,18
11+8/1,19
11+8/2,15
11+8/4,13
11+8/8,12
11+8*1,19
11+8*2,27
11+8*3,35
11+8*4,43
11+8*5,51
11+8*6,59
11+8*7,67
11+8*8,75
11+8*9,83
11+8*0,11
11+8+1,20
11+8+2,21
11+8+3,22
11+8+4,23
11+8+5,24
11+8+6,25
11+8+7,26
11+8+8,27
11+8+9,28
11+8+0,19
11+8-1,18
11+8-2,17
11+8-3,16
11+8-4,15
11+8-5,14
11+8-6,13
11+8-7,12
11+8-8,11
11+8-9,10
11+8-0,19
11+9/1,20
11+9/3,14
11+9/9,12
11+9*1,20
11+9*2,29
11+9*3,38
11+9*4,47
11+9*5,56
11+9*6,65
11+9*7,74
11+9*8,83
11+9*9,92
11+9*0,11
11+9+1,21
11+9+2,22
11+9+3,23
11+9+4,24
11+9+5,25
11+9+6,26
11+9+7,27
11+9+8,28
11+9+9,29
11+9+0,20
11+9-1,19
11+9-2,18
11+9-3,17
11+9-4,16
11+9-5,15
11+9-6,14
11+9-7,13
11+9-8,12
11+9-9,11
11+9-0,20
11+0/1,11
11+0/2,11
11+0/3,11
11+0/4,11
11+0/5,11
11+0/6,11
11+0/7,11
11+0/8,11
11+0/9,11
11+0*1,11
11+0*2,11
11+0*3,11
11+0*4,11
11+0*5,11
11+0*6,11
11+0*7,11
11+0*8,11
11+0*9,11
11+0*0,11
11+0+1,12
11+0+2,13
11+0+3,14
11+0+4,15
11+0+5,16
11+0+6,17
11+0+7,18
11+0+8,19
11+0+9,20
11+0+0,11
11+0-1,10
11+0-2,9
11+0-3,8
11+0-4,7
11+0-5,6
11+0-6,5
11+0-7,4
11+0-8,3
11+0-9,2
11+0-0,11
11-1/1,10
11-1*1,10
11-1*2,9
11-1*3,8
11-1*4,7
11-1*5,6
11-1*6,5
11-1*7,4
11-1*8,3
11-1*9,2
11-1*0,11
11-1+1,11
11-1+2,12
11-1+3,13
11-1+4,14
11-1+5,15
11-1+6,16
11-1+7,17
11-1+8,18
11-1+9,19
11-1+0,10
11-1-1,9
11-1-2,8
11-1-3,7
11-1-4,6
11-1-5,5
11-1-6,4
11-1-7,3
11-1-8,2
11-1-9,1
11-1-0,10
11-2/1,9
11-2/2,10
11-2*1,9
11-2*2,7
11-2*3,5
11-2*4,3
11-2*5,1
11-2*6,-1
11-2*7,-3
11-2*8,-5
11-2*9,-7
11-2*0,11
11-2+1,10
11-2+2,11
11-2+3,12
11-2+4,13
11-2+5,14
11-2+6,15
11-2+7,16
11-2+8,17
11-2+9,18
11-2+0,9
11-2-1,8
11-2-2,7
11-2-3,6
11-2-4,5
11-2-5,4
11-2-6,3
11-2-7,2
11-2-8,1
11-2-0,9
11-3/1,8
11-3/3,10
11-3*1,8
11-3*2,5
11-3*3,2
11-3*4,-1
11-3*5,-4
11-3*6,-7
11-3*7,-10
11-3*8,-13
11-3*9,-16
11-3*0,11
11-3+1,9
11-3+2,10
11-3+3,11
11-3+4,12
11-3+5,13
11-3+6,14
11-3+7,15
11-3+8,16
11-3+9,17
11-3+0,8
11-3-1,7
11-3-2,6
11-3-3,5
11-3-4,4
11-3-5,3
11-3-6,2
11-3-7,1
11-3-9,-1
11-3-0,8
11-4/1,7
11-4/2,9
11-4/4,10
11-4*1,7
11-4*2,3
11-4*3,-1
11-4*4,-5
11-4*5,-9
11-4*6,-13
11-4*7,-17
11-4*8,-21
11-4*9,-25
11-4*0,11
11-4+1,8
11-4+2,9
11-4+3,10
11-4+4,11
11-4+5,12
11-4+6,13
11-4+7,14
11-4+8,15
11-4+9,16
11-4+0,7
11-4-1,6
11-4-2,5
11-4-3,4
11-4-4,3
11-4-5,2
11-4-6,1
11-4-8,-1
11-4-9,-2
11-4-0,7
11-5/1,6
11-5/5,10
11-5*1,6
11-5*2,1
11-5*3,-4
11-5*4,-9
11-5*5,-14
11-5*6,-19
11-5*7,-24
11-5*8,-29
11-5*9,-34
11-5*0,11
11-5+1,7
11-5+2,8
11-5+3,9
11-5+4,10
11-5+5,11
11-5+6,12
11-5+7,13
11-5+8,14
11-5+9,15
11-5+0,6
11-5-1,5
11-5-2,4
11-5-3,3
11-5-4,2
11-5-5,1
11-5-7,-1
11-5-8,-2
11-5-9,-3
11-5-0,6
11-6/1,5
11-6/2,8
11-6/3,9
11-6/6,10
11-6*1,5
11-6*2,-1
11-6*3,-7
11-6*4,-13
11-6*5,-19
11-6*6,-25
11-6*7,-31
11-6*8,-37
11-6*9,-43
11-6*0,11
11-6+1,6
11-6+2,7
11-6+3,8
11-6+4,9
11-6+5,10
11-6+6,11
11-6+7,12
11-6+8,13
11-6+9,14
11-6+0,5
11-6-1,4
11-6-2,3
11-6-3,2
11-6-4,1
11-6-6,-1
11-6-7,-2
11-6-8,-3
11-6-9,-4
11-6-0,5
11-7/1,4
11-7/7,10
11-7*1,4
11-7*2,-3
11-7*3,-10
11-7*4,-17
11-7*5,-24
11-7*6,-31
11-7*7,-38
11-7*8,-45
11-7*9,-52
11-7*0,11
11-7+1,5
11-7+2,6
11-7+3,7
11-7+4,8
11-7+5,9
11-7+6,10
11-7+7,11
11-7+8,12
11-7+9,13
11-7+0,4
11-7-1,3
11-7-2,2
11-7-3,1
11-7-5,-1
11-7-6,-2
11-7-7,-3
11-7-8,-4
11-7-9,-5
11-7-0,4
11-8/1,3
11-8/2,7
11-8/4,9
11-8/8,10
11-8*1,3
11-8*2,-5
11-8*3,-13
11-8*4,-21
11-8*5,-29
11-8*6,-37
11-8*7,-45
11-8*8,-53
11-8*9,-61
11-8*0,11
11-8+1,4
11-8+2,5
11-8+3,6
11-8+4,7
11-8+5,8
11-8+6,9
11-8+7,10
11-8+8,11
11-8+9,12
11-8+0,3
11-8-1,2
11-8-2,1
11-8-4,-1
11-8-5,-2
11-8-6,-3
11-8-7,-4
11-8-8,-5
11-8-9,-6
11-8-0,3
11-9/1,2
11-9/3,8
11-9/9,10
11-9*1,2
11-9*2,-7
11-9*3,-16
11-9*4,-25
11-9*5,-34
11-9*6,-43
11-9*7,-52
11-9*8,-61
11-9*9,-70
11-9*0,11
11-9+1,3
11-9+2,4
11-9+3,5
11-9+4,6
11-9+5,7
11-9+6,8
11-9+7,9
11-9+8,10
11-9+9,11
11-9+0,2
11-9-1,1
11-9-3,-1
11-9-4,-2
11-9-5,-3
11-9-6,-4
11-9-7,-5
11-9-8,-6
11-9-9,-7
11-9-0,2
11-0/1,11
11-0/2,11
11-0/3,11
11-0/4,11
11-0/5,11
11-0/6,11
11-0/7,11
11-0/8,11
11-0/9,11
11-0*1,11
11-0*2,11
11-0*3,11
11-0*4,11
11-0*5,11
11-0*6,11
11-0*7,11
11-0*8,11
11-0*9,11
11-0*0,11
11-0+1,12
11-0+2,13
11-0+3,14
11-0+4,15
11-0+5,16
11-0+6,17
11-0+7,18
11-0+8,19
11-0+9,20
11-0+0,11
11-0-1,10
11-0-2,9
11-0-3,8
11-0-4,7
11-0-5,6
11-0-6,5
11-0-7,4
11-0-8,3
11-0-9,2
11-0-0,11
12/1/1,12
12/1/2,6
12/1/3,4
12/1/4,3
12/1/6,2
12/1*1,12
12/1*2,24
12/1*3,36
12/1*4,48
12/1*5,60
12/1*6,72
12/1*7,84
12/1*8,96
12/1*9,108
12/1+1,13
12/1+2,14
12/1+3,15
12/1+4,16
12/1+5,17
12/1+6,18
12/1+7,19
12/1+8,20
12/1+9,21
12/1+0,12
12/1-1,11
12/1-2,10
12/1-3,9
12/1-4,8
12/1-5,7
12/1-6,6
12/1-7,5
12/1-8,4
12/1-9,3
12/1-0,12
12/2/1,6
12/2/2,3
12/2/3,2
12/2/6,1
12/2*1,6
12/2*2,12
12/2*3,18
12/2*4,24
12/2*5,30
12/2*6,36
12/2*7,42
12/2*8,48
12/2*9,54
12/2+1,7
12/2+2,8
12/2+3,9
12/2+4,10
12/2+5,11
12/2+6,12
12/2+7,13
12/2+8,14
12/2+9,15
12/2+0,6
12/2-1,5
12/2-2,4
12/2-3,3
12/2-4,2
12/2-5,1
12/2-7,-1
12/2-8,-2
12/2-9,-3
12/2-0,6
12/3/1,4
12/3/2,2
12/3/4,1
12/3*1,4
12/3*2,8
12/3*3,12
12/3*4,16
12/3*5,20
12/3*6,24
12/3*7,28
12/3*8,32
12/3*9,36
12/3+1,5
12/3+2,6
12/3+3,7
12/3+4,8
12/3+5,9
12/3+6,10
